12/03/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,11,1,27,0,0,23,0,23,8,7,34,1,50,0,0,0,50
12/04/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,4,2,11,0,0,16,0,16,1,4,20,2,27,0,0,0,27
12/05/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,5,0,11,0,0,11,1,12,2,4,16,1,23,0,0,0,23
12/06/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,7,6,0,18,0,2,0,0,2,5,9,6,0,20,0,0,0,20
12/07/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,12,0,25,0,2,16,0,18,4,11,28,0,43,0,0,0,43
12/08/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,6,26,0,0,4,0,4,6,6,12,6,30,0,0,0,30
12/09/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,5,18,2,31,0,0,14,5,19,6,5,32,7,50,0,0,0,50
12/10/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,8,0,4,20,0,0,2,0,2,8,8,2,4,22,0,0,0,22
12/11/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,5,0,0,6,0,0,0,0,0,1,5,0,0,6,0,0,0,6
12/12/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,6,7,0,15,0,4,16,0,20,2,10,23,0,35,0,0,0,35
12/13/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,8,0,19,0,0,8,0,8,5,6,16,0,27,0,0,0,27
12/14/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,5,0,17,0,2,8,0,10,6,8,13,0,27,0,0,0,27
12/15/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,0,20,0,0,6,0,6,6,6,14,0,26,0,0,0,26
12/16/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,0,20,0,0,5,0,5,6,6,13,0,25,0,0,0,25
12/17/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,8,2,0,18,0,0,0,0,0,8,8,2,0,18,0,0,0,18
12/18/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,0,0,11,0,0,0,0,0,5,6,0,0,11,0,0,0,11
12/19/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,4,0,0,8,0,0,0,0,0,4,4,0,0,8,0,0,0,8
12/20/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,9,5,0,21,0,0,2,0,2,7,9,7,0,23,0,0,0,23
12/21/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,8,13,0,27,0,0,6,0,6,6,8,19,0,33,0,0,0,33
12/22/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,9,0,24,0,0,18,0,18,8,7,27,0,42,0,0,0,42
12/23/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,6,1,0,15,0,2,2,2,6,8,8,3,2,21,0,0,0,21
12/24/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,4,4,0,15,0,0,0,0,0,7,4,4,0,15,0,0,0,15
12/25/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,2,0,0,4,0,0,0,0,0,2,2,0,0,4,0,0,0,4
12/26/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,14,0,20,0,0,17,0,17,2,4,31,0,37,0,0,0,37
12/27/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,7,0,18,0,0,3,0,3,5,6,10,0,21,0,0,0,21
12/28/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,5,5,0,16,0,0,0,0,0,6,5,5,0,16,0,0,0,16
12/29/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,10,9,10,0,29,0,0,2,0,2,10,9,12,0,31,0,0,0,31
12/30/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,6,3,0,17,0,0,0,0,0,8,6,3,0,17,0,0,0,17
12/31/2021,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,5,3,0,13,0,0,5,0,5,5,5,8,0,18,0,0,0,18
01/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,6,1,0,9,0,0,0,0,0,2,6,1,0,9,0,0,0,9
01/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,3,6,0,9,0,0,0,0,0,0,3,6,0,9,0,0,0,9
01/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,9,2,0,16,0,0,0,0,0,5,9,2,0,16,0,0,0,16
01/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,10,0,20,0,0,7,1,8,4,6,17,1,28,0,0,0,28
01/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,0,0,13,0,0,0,0,0,4,9,0,0,13,0,0,0,13
01/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,3,0,8,0,1,0,0,1,1,5,3,0,9,0,0,0,9
01/07/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,2,1,0,5,0,0,3,0,3,2,2,4,0,8,0,0,0,8
01/08/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,1,0,12,0,0,8,0,8,4,7,9,0,20,0,0,0,20
01/09/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,5,5,0,10,0,0,2,0,2,0,5,7,0,12,0,0,0,12
01/10/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,7,3,0,15,0,0,18,0,18,5,7,21,0,33,0,0,0,33
01/11/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,14,3,28,0,0,11,1,12,4,7,25,4,40,0,0,0,40
01/12/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,14,6,2,26,0,2,11,7,20,4,16,17,9,46,0,0,0,46
01/13/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,6,0,18,0,0,3,0,3,4,8,9,0,21,0,0,0,21
01/14/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,4,0,19,0,0,0,0,0,8,7,4,0,19,0,0,0,19
01/15/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,6,0,11,0,0,9,0,9,1,4,15,0,20,0,0,0,20
01/16/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
01/17/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,5,0,0,10,0,0,0,0,0,5,5,0,0,10,0,0,0,10
01/18/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,4,0,17,0,0,0,0,0,4,9,4,0,17,0,0,0,17
01/19/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,8,0,18,0,0,1,0,1,4,6,9,0,19,0,0,0,19
01/20/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,4,2,0,10,0,0,1,0,1,4,4,3,0,11,0,0,0,11
01/21/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,9,7,6,0,22,0,0,1,1,2,9,7,7,1,24,0,0,0,24
01/22/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,5,7,0,13,0,0,15,0,15,1,5,22,0,28,0,0,0,28
01/23/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,5,4,0,9,0,0,1,0,1,0,5,5,0,10,0,0,0,10
01/24/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,5,0,16,0,1,2,0,3,5,7,7,0,19,0,0,0,19
01/25/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,10,0,20,0,0,0,0,0,4,6,10,0,20,0,0,0,20
01/26/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,10,0,22,0,0,11,2,13,4,8,21,2,35,0,0,0,35
01/27/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,7,0,17,0,0,4,0,4,4,6,11,0,21,0,0,0,21
01/28/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,6,2,0,16,0,0,0,0,0,8,6,2,0,16,0,0,0,16
01/29/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,6,3,0,10,0,0,7,0,7,1,6,10,0,17,0,0,0,17
01/30/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,4,6,0,10,0,0,5,0,5,0,4,11,0,15,0,0,0,15
01/31/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,10,2,23,0,0,7,0,7,4,7,17,2,30,0,0,0,30
02/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,8,0,19,0,0,11,0,11,5,6,19,0,30,0,0,0,30
02/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,5,0,17,0,3,0,0,3,4,11,5,0,20,0,0,0,20
02/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,1,2,0,5,0,0,0,0,0,2,1,2,0,5,0,0,0,5
02/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,1,6,0,9,0,0,0,0,0,2,1,6,0,9,0,0,0,9
02/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,6,6,0,13,0,0,0,3,3,1,6,6,3,16,0,0,0,16
02/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,4,6,0,10,0,0,8,0,8,0,4,14,0,18,0,0,0,18
02/07/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,8,6,4,23,0,0,4,0,4,5,8,10,4,27,0,0,0,27
02/08/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,7,0,17,0,0,6,0,6,4,6,13,0,23,0,0,0,23
02/09/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,2,2,15,0,0,1,0,1,4,7,3,2,16,0,0,0,16
02/10/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,9,0,20,0,0,5,5,10,4,7,14,5,30,0,0,0,30
02/11/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,10,8,6,0,24,0,0,3,1,4,10,8,9,1,28,0,0,0,28
02/12/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,3,0,8,0,0,0,0,0,1,4,3,0,8,0,0,0,8
02/13/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,4,3,0,7,0,0,2,0,2,0,4,5,0,9,0,0,0,9
02/14/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,3,0,14,0,0,11,0,11,5,6,14,0,25,0,0,0,25
02/15/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,10,2,22,0,0,33,2,35,4,6,43,4,57,12,0,12,69
02/16/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,10,15,0,29,0,0,2,0,2,4,10,17,0,31,0,0,0,31
02/17/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,0,20,0,0,0,0,0,6,6,8,0,20,0,0,0,20
02/18/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,9,0,22,0,0,5,0,5,4,9,14,0,27,0,0,0,27
02/19/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,1,0,6,0,0,1,0,1,1,4,2,0,7,0,0,0,7
02/20/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,6,1,0,9,0,0,15,0,15,2,6,16,0,24,4,0,4,28
02/21/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,10,5,0,18,0,0,18,0,18,3,10,23,0,36,0,0,0,36
02/22/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,2,0,14,0,0,0,0,0,4,8,2,0,14,0,0,0,14
02/23/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,2,0,13,0,0,0,0,0,4,7,2,0,13,0,0,0,13
02/24/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,8,2,0,18,0,0,0,0,0,8,8,2,0,18,0,0,0,18
02/25/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,7,3,0,16,0,0,1,0,1,6,7,4,0,17,0,0,0,17
02/26/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,4,6,0,11,0,0,15,0,15,1,4,21,0,26,0,0,0,26
02/27/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,8,0,14,0,2,25,0,27,2,6,33,0,41,0,0,0,41
02/28/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,7,16,0,26,0,2,16,0,18,3,9,32,0,44,0,0,0,44
03/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,7,7,0,18,0,0,12,1,13,4,7,19,1,31,0,0,0,31
03/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,11,10,31,0,0,19,0,19,4,6,30,10,50,0,0,0,50
03/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,6,5,2,18,0,1,8,3,12,5,7,13,5,30,0,0,0,30
03/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,8,6,4,25,0,0,22,1,23,7,8,28,5,48,0,0,0,48
03/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,5,5,0,11,0,0,10,2,12,1,5,15,2,23,0,0,0,23
03/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,3,1,0,7,0,0,0,0,0,3,3,1,0,7,0,0,0,7
03/07/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,5,0,18,0,0,0,0,0,4,9,5,0,18,0,0,0,18
03/08/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,9,0,19,0,0,11,0,11,4,6,20,0,30,0,0,0,30
03/09/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,2,0,14,0,0,4,0,4,4,8,6,0,18,0,0,0,18
03/10/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,8,4,1,19,0,2,12,3,17,6,10,16,4,36,0,0,0,36
03/11/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,7,5,0,18,0,0,2,0,2,6,7,7,0,20,0,0,0,20
03/12/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,0,3,6,0,9,0,0,0,0,0,0,3,6,0,9,0,0,0,9
03/13/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,4,0,10,0,0,0,0,0,2,4,4,0,10,0,0,0,10
03/14/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,5,10,0,19,0,3,1,1,5,4,8,11,1,24,0,0,0,24
03/15/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,9,7,1,21,0,0,11,12,23,4,9,18,13,44,0,0,0,44
03/16/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,9,3,22,0,1,25,2,28,4,7,34,5,50,0,0,0,50
03/17/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,8,13,0,27,0,0,15,2,17,6,8,28,2,44,0,0,0,44
03/18/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,7,8,0,21,0,2,5,4,11,6,9,13,4,32,6,0,6,38
03/19/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,5,1,0,7,0,0,0,1,1,1,5,1,1,8,0,0,0,8
03/20/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,3,0,9,0,2,10,1,13,2,6,13,1,22,0,0,0,22
03/21/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,8,10,0,21,0,0,9,0,9,3,8,19,0,30,0,0,0,30
03/22/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,5,0,17,0,0,14,0,14,6,6,19,0,31,0,0,0,31
03/23/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,2,1,13,0,0,0,4,4,4,6,2,5,17,0,4,4,21
03/24/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,7,0,19,0,0,8,6,14,6,6,15,6,33,0,0,0,33
03/25/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,9,0,21,0,0,3,0,3,6,6,12,0,24,0,0,0,24
03/26/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,5,4,0,12,0,0,0,0,0,3,5,4,0,12,0,0,0,12
03/27/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,0,0,6,0,0,2,0,2,2,4,2,0,8,0,0,0,8
03/28/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,6,4,0,13,0,2,4,0,6,3,8,8,0,19,0,0,0,19
03/29/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,11,0,23,0,0,7,0,7,6,6,18,0,30,0,0,0,30
03/30/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,5,0,15,0,0,0,2,2,4,6,5,2,17,0,0,0,17
03/31/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,6,0,16,0,0,6,6,12,4,6,12,6,28,0,0,0,28
04/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,11,6,1,22,0,0,3,1,4,4,11,9,2,26,0,0,0,26
04/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,4,12,0,19,0,0,13,2,15,3,4,25,2,34,0,0,0,34
04/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,5,4,0,11,0,0,10,0,10,2,5,14,0,21,0,0,0,21
04/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,9,11,0,23,0,1,0,0,1,3,10,11,0,24,0,0,0,24
04/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,8,0,0,14,0,0,3,0,3,6,8,3,0,17,0,0,0,17
04/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,7,10,27,0,0,0,0,0,4,6,7,10,27,0,0,0,27
04/07/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,10,5,0,19,0,0,1,5,6,4,10,6,5,25,0,0,0,25
04/08/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,7,5,0,18,0,0,0,0,0,6,7,5,0,18,0,0,0,18
04/09/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,1,5,1,0,7,0,0,0,0,0,1,5,1,0,7,0,0,0,7
04/10/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,10,0,16,0,0,23,0,23,2,4,33,0,39,0,0,0,39
04/11/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,6,3,0,12,0,0,0,0,0,3,6,3,0,12,0,0,0,12
04/12/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,2,22,0,0,2,0,2,6,6,10,2,24,0,0,0,24
04/13/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,4,0,14,0,1,3,0,4,4,7,7,0,18,0,0,0,18
04/14/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,6,0,18,0,1,9,0,10,6,7,15,0,28,0,0,0,28
04/15/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,5,0,17,0,0,15,0,15,6,6,20,0,32,0,0,0,32
04/16/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,4,0,0,7,0,0,1,0,1,3,4,1,0,8,0,0,0,8
04/17/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,3,0,9,0,0,9,0,9,2,4,12,0,18,0,0,0,18
04/18/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,6,2,1,11,0,0,0,0,0,2,6,2,1,11,0,0,0,11
04/19/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,7,13,2,29,0,2,4,2,8,7,9,17,4,37,0,0,0,37
04/20/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,7,12,0,22,0,0,24,0,24,3,7,36,0,46,0,0,0,46
04/21/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,9,8,0,24,0,0,1,0,1,7,9,9,0,25,0,0,0,25
04/22/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,14,0,26,0,0,9,0,9,6,6,23,0,35,0,0,0,35
04/23/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,4,2,0,9,0,0,12,0,12,3,4,14,0,21,0,0,0,21
04/24/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,10,0,16,0,0,14,0,14,2,4,24,0,30,0,0,0,30
04/25/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,6,7,0,16,0,0,11,0,11,3,6,18,0,27,0,0,0,27
04/26/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,18,0,28,0,0,4,0,4,4,6,22,0,32,0,0,0,32
04/27/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,10,3,25,0,1,20,2,23,4,9,30,5,48,0,0,0,48
04/28/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,10,6,28,0,0,21,3,24,6,6,31,9,52,0,0,0,52
04/29/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,3,0,15,0,2,11,1,14,6,8,14,1,29,0,0,0,29
04/30/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,5,1,0,9,0,0,1,0,1,3,5,2,0,10,0,0,0,10
05/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,5,3,0,10,0,0,2,0,2,2,5,5,0,12,0,0,0,12
05/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,6,8,0,17,0,5,6,0,11,3,11,14,0,28,0,0,0,28
05/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,6,0,16,0,0,4,0,4,4,6,10,0,20,0,0,0,20
05/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,8,10,11,32,2,0,0,5,7,5,8,10,16,39,256,31,287,326
05/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,9,6,14,0,29,0,5,9,0,14,9,11,23,0,43,0,0,0,43
05/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,7,3,0,17,0,0,0,0,0,7,7,3,0,17,0,0,0,17
05/07/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,7,2,21,0,0,0,0,0,6,6,7,2,21,0,0,0,21
05/08/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,4,0,10,0,0,12,0,12,2,4,16,0,22,0,0,0,22
05/09/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,8,6,0,17,0,0,12,4,16,3,8,18,4,33,0,0,0,33
05/10/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,12,7,2,25,0,0,25,0,25,4,12,32,2,50,0,4,4,54
05/11/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,14,0,24,0,0,19,0,19,4,6,33,0,43,0,0,0,43
05/12/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,7,0,19,0,0,16,2,18,6,6,23,2,37,0,0,0,37
05/13/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,10,3,25,0,0,12,1,13,6,6,22,4,38,0,0,0,38
05/14/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,4,1,0,8,0,0,9,0,9,3,4,10,0,17,8,0,8,25
05/15/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,2,4,7,0,13,0,0,4,0,4,2,4,11,0,17,0,0,0,17
05/16/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,7,6,0,16,0,0,3,0,3,3,7,9,0,19,0,0,0,19
05/17/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,8,5,0,17,0,3,3,1,7,4,11,8,1,24,0,0,0,24
05/18/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,16,17,0,37,0,0,10,4,14,4,16,27,4,51,0,0,0,51
05/19/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,4,4,23,0,0,7,5,12,8,7,11,9,35,0,0,0,35
05/20/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,8,1,21,0,0,6,0,6,6,6,14,1,27,0,0,0,27
05/21/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,5,4,5,0,14,0,0,14,0,14,5,4,19,0,28,0,0,0,28
05/22/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,3,8,0,15,0,0,2,0,2,4,3,10,0,17,0,0,0,17
05/23/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,9,9,0,21,0,0,2,0,2,3,9,11,0,23,0,0,0,23
05/24/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,6,9,0,21,0,0,2,0,2,6,6,11,0,23,0,0,0,23
05/25/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,5,0,15,0,0,8,0,8,4,6,13,0,23,0,0,0,23
05/26/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,11,0,26,0,0,3,0,3,8,7,14,0,29,0,0,0,29
05/27/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,8,7,12,0,27,0,0,2,0,2,8,7,14,0,29,0,0,0,29
05/28/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,6,4,0,17,0,0,3,0,3,7,6,7,0,20,0,0,0,20
05/29/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,4,6,0,14,0,0,9,0,9,4,4,15,0,23,0,0,0,23
05/30/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,9,0,19,0,0,8,0,8,4,6,17,0,27,0,0,0,27
05/31/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,3,10,8,0,21,0,0,19,0,19,3,10,27,0,40,0,0,0,40
06/01/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,4,6,13,0,23,0,0,11,0,11,4,6,24,0,34,0,0,0,34
06/02/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,10,11,7,0,28,0,0,4,1,5,10,11,11,1,33,0,0,0,33
06/03/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,10,9,9,2,30,0,0,10,1,11,10,9,19,3,41,0,0,0,41
06/04/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,9,4,14,0,27,0,0,12,0,12,9,4,26,0,39,0,0,0,39
06/05/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,6,4,11,0,21,0,0,8,0,8,6,4,19,0,29,0,0,0,29
06/06/2022,HTS,WV,AEA,CE,Combined TRACON& Tower with Radar,7,6,2,0,15,0,0,3,0,3,7,6,5,0,18,0,0,0,18
